,model_action,best_action_t_plus_1,mean_price
0,H,B,0.889
1,H,S,0.884
2,H,S,0.882
3,H,B,0.884
4,H,B,0.885
5,H,S,0.884
6,H,B,0.885
7,H,B,0.887
8,H,B,0.888
9,H,S,0.8859999999999999
10,H,B,0.8859999999999999
11,H,B,0.888
12,H,B,0.889
13,H,S,0.888
14,H,S,0.887
15,H,B,0.887
16,H,B,0.888
17,H,B,0.888
18,H,S,0.887
19,H,B,0.888
20,H,B,0.89
21,H,S,0.889
22,H,S,0.887
23,H,B,0.887
24,H,S,0.8859999999999999
25,H,S,0.885
26,H,B,0.8909999999999999
27,H,B,0.892
28,H,B,0.894
29,H,B,0.895
30,H,S,0.893
31,H,S,0.89
32,H,S,0.889
33,H,S,0.885
34,H,S,0.883
35,H,S,0.879
36,H,B,0.882
37,H,B,0.883
38,H,S,0.882
39,H,S,0.8809999999999999
40,H,B,0.8809999999999999
41,H,B,0.8809999999999999
42,H,B,0.8809999999999999
43,H,S,0.878
44,H,S,0.8740000000000001
45,H,B,0.8740000000000001
46,H,B,0.875
47,H,B,0.877
48,H,S,0.8759999999999999
49,H,S,0.8740000000000001
50,H,B,0.877
51,H,S,0.8759999999999999
52,H,S,0.8740000000000001
53,H,B,0.8740000000000001
54,H,S,0.8690000000000001
55,H,S,0.868
56,H,B,0.87
57,H,B,0.871
58,H,B,0.871
59,H,B,0.871
60,H,B,0.873
61,H,B,0.873
62,H,B,0.873
63,H,B,0.8740000000000001
64,H,S,0.873
65,H,B,0.873
66,H,S,0.872
67,H,S,0.871
68,H,S,0.87
69,H,S,0.8690000000000001
70,H,B,0.8740000000000001
71,H,B,0.875
72,H,B,0.8759999999999999
73,H,B,0.879
74,H,S,0.878
75,H,S,0.877
76,H,B,0.878
77,H,S,0.8759999999999999
78,H,S,0.875
79,H,S,0.8740000000000001
80,H,B,0.875
81,H,B,0.8759999999999999
82,H,B,0.8759999999999999
83,H,S,0.875
84,H,B,0.877
85,H,B,0.879
86,H,B,0.879
87,H,B,0.8809999999999999
88,H,S,0.88
89,H,S,0.879
90,H,B,0.879
91,H,B,0.879
92,H,B,0.8809999999999999
93,H,S,0.879
94,H,S,0.877
95,H,B,0.877
96,H,B,0.877
97,H,B,0.878
98,H,B,0.878
99,H,B,0.878
100,H,B,0.878
101,H,B,0.878
102,H,B,0.88
103,H,B,0.8809999999999999
104,H,B,0.8809999999999999
105,H,B,0.8809999999999999
106,H,S,0.879
107,H,B,0.879
108,H,S,0.878
109,H,B,0.878
110,H,B,0.879
111,H,B,0.879
112,H,B,0.879
113,H,B,0.88
114,H,B,0.887
115,H,S,0.8859999999999999
116,H,B,0.887
117,H,S,0.8859999999999999
118,H,S,0.883
119,H,S,0.882
120,H,B,0.882
121,H,B,0.888
122,H,B,0.9
123,H,B,0.902
124,H,B,0.902
125,H,S,0.9009999999999999
126,H,B,0.902
127,H,B,0.9079999999999999
128,H,S,0.907
129,H,S,0.905
130,H,B,0.905
131,H,B,0.907
132,H,B,0.907
133,H,S,0.9059999999999999
134,H,S,0.904
135,H,B,0.904
136,H,B,0.9059999999999999
137,H,B,0.909
138,H,B,0.91
