,model_action,best_action_t_plus_1,mean_price,original_price
0,H,H,0.922,8486.751
1,H,H,0.919,8453.877
2,H,B,0.919,8454.690999999999
3,H,B,0.919,8453.841
4,H,H,0.9179999999999999,8449.061
5,H,B,0.92,8462.926
6,H,H,0.919,8457.216999999999
7,H,B,0.919,8451.174
8,H,B,0.919,8456.161
9,H,B,0.919,8454.502
10,H,B,0.919,8452.751
11,H,H,0.9179999999999999,8441.458
12,H,H,0.9159999999999999,8429.071
13,H,B,0.9179999999999999,8446.652
14,H,B,0.922,8481.726
15,H,B,0.9259999999999999,8518.995
16,H,B,0.9309999999999999,8567.429
17,H,B,0.932,8572.755
18,H,B,0.9329999999999999,8578.992
19,H,B,0.9329999999999999,8578.961
20,H,B,0.9329999999999999,8584.938
21,H,B,0.9359999999999999,8615.519
22,H,H,0.935,8602.045
23,H,B,0.9359999999999999,8607.965
24,H,B,0.9359999999999999,8607.214
25,H,H,0.9329999999999999,8582.537
26,H,B,0.935,8600.088
27,H,H,0.934,8595.449
28,H,B,0.934,8591.9
29,H,B,0.934,8591.846
30,H,B,0.935,8601.975
31,H,H,0.934,8592.825
32,H,H,0.93,8556.558
33,H,B,0.93,8559.705
34,H,B,0.93,8556.698
35,H,B,0.93,8555.095
36,H,B,0.9309999999999999,8570.336
37,H,B,0.932,8569.696
38,H,H,0.9309999999999999,8567.589
39,H,B,0.934,8597.207
40,H,B,0.935,8601.909
41,H,H,0.9329999999999999,8584.629
42,H,B,0.9329999999999999,8588.078000000001
43,H,H,0.932,8571.546
44,H,B,0.932,8572.935
45,H,B,0.9329999999999999,8587.779
46,H,B,0.9329999999999999,8583.017
47,H,H,0.9309999999999999,8571.091999999999
48,H,B,0.9329999999999999,8587.149
49,H,B,0.935,8598.43
50,H,H,0.9329999999999999,8588.064
51,H,B,0.935,8598.478000000001
52,H,H,0.934,8594.443000000001
53,H,H,0.9309999999999999,8567.764000000001
54,H,H,0.93,8558.333
55,H,B,0.93,8556.671999999999
56,H,B,0.9309999999999999,8567.311
57,H,B,0.9309999999999999,8569.7
58,H,B,0.932,8573.568000000001
59,H,B,0.9329999999999999,8581.742
60,H,H,0.9309999999999999,8565.244
61,H,B,0.9309999999999999,8561.171999999999
62,H,B,0.9309999999999999,8566.229
63,H,B,0.9309999999999999,8562.644
64,H,B,0.932,8569.59
65,H,B,0.932,8573.924
66,H,H,0.9309999999999999,8566.091999999999
67,H,H,0.93,8559.793
68,H,B,0.9309999999999999,8561.087
69,H,B,0.9309999999999999,8563.189
70,H,B,0.9309999999999999,8567.317
71,H,H,0.9259999999999999,8523.798
72,H,H,0.925,8507.326
73,H,H,0.9209999999999999,8471.553
74,H,B,0.9229999999999999,8491.039
75,H,B,0.924,8498.841999999999
76,H,H,0.9229999999999999,8487.666
77,H,B,0.925,8509.083
78,H,B,0.93,8558.577
79,H,B,0.9329999999999999,8582.039
80,H,B,0.943,8671.016
81,H,B,0.946,8699.358
82,H,H,0.9440000000000001,8690.332
83,H,B,0.945,8694.899
84,H,B,0.945,8694.669
85,H,H,0.943,8674.107
86,H,B,0.943,8669.951
87,H,H,0.941,8657.274
88,H,B,0.9420000000000001,8662.461
89,H,B,0.9420000000000001,8669.295
90,H,H,0.941,8655.799
91,H,H,0.94,8651.301
92,H,H,0.9390000000000001,8636.484
93,H,B,0.94,8646.853000000001
94,H,B,0.941,8652.761999999999
95,H,H,0.94,8646.058
96,H,B,0.94,8643.298
97,H,H,0.9390000000000001,8640.527
98,H,H,0.935,8606.502
99,H,B,0.9359999999999999,8612.346
100,H,H,0.9329999999999999,8580.354
101,H,B,0.934,8587.793
102,H,B,0.934,8592.121
103,H,B,0.9359999999999999,8612.962
104,H,B,0.9359999999999999,8610.93
105,H,H,0.935,8601.527
106,H,H,0.934,8594.968
107,H,H,0.9329999999999999,8586.543
108,H,B,0.935,8597.392
109,H,H,0.934,8589.143
110,H,B,0.935,8605.315
