,model_action,best_action_t_plus_1
0,H,B
1,H,S
2,H,S
3,H,B
4,H,B
5,H,S
6,H,B
7,H,B
8,H,B
9,H,S
10,H,B
11,H,B
12,H,B
13,H,S
14,H,S
15,H,B
16,H,B
17,H,B
18,H,S
19,H,B
20,H,B
21,H,S
22,H,S
23,H,B
24,H,S
25,H,S
26,H,B
27,H,B
28,H,B
29,H,B
30,H,S
31,H,S
32,H,S
33,H,S
34,H,S
35,H,S
36,H,B
37,H,B
38,H,S
39,H,S
40,H,B
41,H,B
42,H,B
43,H,S
44,H,S
45,H,B
46,H,B
47,H,B
48,H,S
49,H,S
50,H,B
51,H,S
52,H,S
53,H,B
54,H,S
55,H,S
56,H,B
57,H,B
58,H,B
59,H,B
60,H,B
61,H,B
62,H,B
63,H,B
64,H,S
65,H,B
66,H,S
67,H,S
68,H,S
69,H,S
70,H,B
71,H,B
72,H,B
73,H,B
74,H,S
75,H,S
76,H,B
77,H,S
78,H,S
79,H,S
80,H,B
81,H,B
82,H,B
83,H,S
84,H,B
85,H,B
86,H,B
87,H,B
88,H,S
89,H,S
90,H,B
91,H,B
92,H,B
93,H,S
94,H,S
95,H,B
96,H,B
97,H,B
98,H,B
99,H,B
100,H,B
101,H,B
102,H,B
103,H,B
104,H,B
105,H,B
106,H,S
107,H,B
108,H,S
109,H,B
110,H,B
111,H,B
112,H,B
113,H,B
114,H,B
115,H,S
116,H,B
117,H,S
118,H,S
119,H,S
120,H,B
121,H,B
122,H,B
123,H,B
124,H,B
125,H,S
126,H,B
127,H,B
128,H,S
129,H,S
130,H,B
131,H,B
132,H,B
133,H,S
134,H,S
135,H,B
136,H,B
137,H,B
138,H,B
139,H,S
140,H,B
141,H,B
142,H,B
143,H,B
144,H,B
145,H,B
146,H,B
147,H,B
148,H,S
149,H,B
150,H,S
151,H,S
152,H,S
153,H,B
154,H,S
155,H,B
156,H,B
157,H,B
158,H,S
159,H,S
160,H,S
161,H,S
162,H,B
163,H,B
164,H,S
165,H,S
166,H,B
167,H,B
168,H,B
169,H,B
170,H,B
171,H,S
172,H,B
173,H,B
174,H,S
175,H,S
176,H,S
177,H,S
178,H,B
179,H,B
180,H,S
181,H,B
182,H,B
183,H,S
184,H,B
185,H,B
186,H,S
187,H,S
188,H,S
189,H,B
190,H,B
194,H,B
195,H,B
196,H,S
197,H,B
198,H,B
199,H,B
200,H,B
201,H,B
202,H,S
203,H,B
204,H,B
205,H,B
206,H,B
207,H,S
208,H,B
209,H,B
210,H,B
211,H,B
212,H,B
213,H,S
214,H,B
215,H,B
216,H,B
217,H,B
218,H,B
219,H,B
220,H,S
221,H,B
222,H,B
223,H,B
224,H,B
225,H,B
226,H,S
227,H,S
228,H,S
229,H,B
230,H,B
231,H,B
232,H,B
233,H,S
234,H,S
235,H,S
236,H,B
237,H,B
238,H,B
239,H,B
240,H,B
241,H,S
242,H,B
243,H,B
244,H,B
245,H,S
246,H,B
247,H,B
248,H,B
249,H,B
250,H,S
251,H,B
252,H,B
253,H,S
254,H,B
255,H,S
256,H,S
257,H,S
258,H,S
259,H,B
260,H,B
261,H,B
262,H,B
263,H,B
264,H,B
265,H,S
266,H,S
267,H,B
268,H,B
269,H,S
270,H,S
271,H,S
272,H,B
273,H,B
274,H,S
275,H,B
276,H,B
277,H,B
278,H,S
279,H,B
280,H,S
281,H,B
282,H,B
283,H,S
284,H,S
285,H,S
286,H,B
287,H,B
288,H,B
289,H,S
290,H,B
291,H,S
292,H,S
293,H,B
294,H,B
295,H,S
296,H,B
297,H,B
298,H,B
299,H,S
300,H,B
301,H,B
302,H,S
303,H,B
304,H,B
305,H,S
306,H,B
307,H,B
308,H,S
309,H,B
310,H,B
311,H,B
312,H,B
313,H,B
