,state_list,state_string,a_value_0,a_value_1,a_value_2,a_value_3,a_value_4,a_value_5,a_value_6,a_value_7,a_value_8
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",100000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"[2, 0, 0, 0, 0, 0, 0, 0, 0]",200000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",010000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",110000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"[2, 1, 0, 0, 0, 0, 0, 0, 0]",210000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"[0, 2, 0, 0, 0, 0, 0, 0, 0]",020000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"[1, 2, 0, 0, 0, 0, 0, 0, 0]",120000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"[2, 2, 0, 0, 0, 0, 0, 0, 0]",220000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",001000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",101000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"[2, 0, 1, 0, 0, 0, 0, 0, 0]",201000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"[0, 1, 1, 0, 0, 0, 0, 0, 0]",011000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",111000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"[2, 1, 1, 0, 0, 0, 0, 0, 0]",211000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"[0, 2, 1, 0, 0, 0, 0, 0, 0]",021000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"[1, 2, 1, 0, 0, 0, 0, 0, 0]",121000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"[2, 2, 1, 0, 0, 0, 0, 0, 0]",221000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"[0, 0, 2, 0, 0, 0, 0, 0, 0]",002000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"[1, 0, 2, 0, 0, 0, 0, 0, 0]",102000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"[2, 0, 2, 0, 0, 0, 0, 0, 0]",202000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"[0, 1, 2, 0, 0, 0, 0, 0, 0]",012000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"[1, 1, 2, 0, 0, 0, 0, 0, 0]",112000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"[2, 1, 2, 0, 0, 0, 0, 0, 0]",212000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"[0, 2, 2, 0, 0, 0, 0, 0, 0]",022000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"[1, 2, 2, 0, 0, 0, 0, 0, 0]",122000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"[2, 2, 2, 0, 0, 0, 0, 0, 0]",222000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"[1, 0, 0, 1, 0, 0, 0, 0, 0]",100100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"[2, 0, 0, 1, 0, 0, 0, 0, 0]",200100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",010100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"[1, 1, 0, 1, 0, 0, 0, 0, 0]",110100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"[2, 1, 0, 1, 0, 0, 0, 0, 0]",210100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"[0, 2, 0, 1, 0, 0, 0, 0, 0]",020100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"[1, 2, 0, 1, 0, 0, 0, 0, 0]",120100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"[2, 2, 0, 1, 0, 0, 0, 0, 0]",220100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"[0, 0, 1, 1, 0, 0, 0, 0, 0]",001100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"[1, 0, 1, 1, 0, 0, 0, 0, 0]",101100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"[2, 0, 1, 1, 0, 0, 0, 0, 0]",201100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"[0, 1, 1, 1, 0, 0, 0, 0, 0]",011100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"[1, 1, 1, 1, 0, 0, 0, 0, 0]",111100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"[2, 1, 1, 1, 0, 0, 0, 0, 0]",211100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"[0, 2, 1, 1, 0, 0, 0, 0, 0]",021100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"[1, 2, 1, 1, 0, 0, 0, 0, 0]",121100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"[2, 2, 1, 1, 0, 0, 0, 0, 0]",221100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"[0, 0, 2, 1, 0, 0, 0, 0, 0]",002100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"[1, 0, 2, 1, 0, 0, 0, 0, 0]",102100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"[2, 0, 2, 1, 0, 0, 0, 0, 0]",202100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,"[0, 1, 2, 1, 0, 0, 0, 0, 0]",012100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"[1, 1, 2, 1, 0, 0, 0, 0, 0]",112100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"[2, 1, 2, 1, 0, 0, 0, 0, 0]",212100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"[0, 2, 2, 1, 0, 0, 0, 0, 0]",022100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"[1, 2, 2, 1, 0, 0, 0, 0, 0]",122100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"[2, 2, 2, 1, 0, 0, 0, 0, 0]",222100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"[0, 0, 0, 2, 0, 0, 0, 0, 0]",000200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,"[1, 0, 0, 2, 0, 0, 0, 0, 0]",100200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"[2, 0, 0, 2, 0, 0, 0, 0, 0]",200200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,"[0, 1, 0, 2, 0, 0, 0, 0, 0]",010200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"[1, 1, 0, 2, 0, 0, 0, 0, 0]",110200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"[2, 1, 0, 2, 0, 0, 0, 0, 0]",210200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,"[0, 2, 0, 2, 0, 0, 0, 0, 0]",020200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"[1, 2, 0, 2, 0, 0, 0, 0, 0]",120200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,"[2, 2, 0, 2, 0, 0, 0, 0, 0]",220200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,"[0, 0, 1, 2, 0, 0, 0, 0, 0]",001200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"[1, 0, 1, 2, 0, 0, 0, 0, 0]",101200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,"[2, 0, 1, 2, 0, 0, 0, 0, 0]",201200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,"[0, 1, 1, 2, 0, 0, 0, 0, 0]",011200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"[1, 1, 1, 2, 0, 0, 0, 0, 0]",111200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,"[2, 1, 1, 2, 0, 0, 0, 0, 0]",211200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,"[0, 2, 1, 2, 0, 0, 0, 0, 0]",021200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"[1, 2, 1, 2, 0, 0, 0, 0, 0]",121200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,"[2, 2, 1, 2, 0, 0, 0, 0, 0]",221200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,"[0, 0, 2, 2, 0, 0, 0, 0, 0]",002200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,"[1, 0, 2, 2, 0, 0, 0, 0, 0]",102200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,"[2, 0, 2, 2, 0, 0, 0, 0, 0]",202200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"[0, 1, 2, 2, 0, 0, 0, 0, 0]",012200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,"[1, 1, 2, 2, 0, 0, 0, 0, 0]",112200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"[2, 1, 2, 2, 0, 0, 0, 0, 0]",212200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,"[0, 2, 2, 2, 0, 0, 0, 0, 0]",022200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,"[1, 2, 2, 2, 0, 0, 0, 0, 0]",122200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"[2, 2, 2, 2, 0, 0, 0, 0, 0]",222200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",000010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,"[1, 0, 0, 0, 1, 0, 0, 0, 0]",100010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,"[2, 0, 0, 0, 1, 0, 0, 0, 0]",200010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,"[0, 1, 0, 0, 1, 0, 0, 0, 0]",010010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,"[1, 1, 0, 0, 1, 0, 0, 0, 0]",110010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"[2, 1, 0, 0, 1, 0, 0, 0, 0]",210010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,"[0, 2, 0, 0, 1, 0, 0, 0, 0]",020010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,"[1, 2, 0, 0, 1, 0, 0, 0, 0]",120010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,"[2, 2, 0, 0, 1, 0, 0, 0, 0]",220010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"[0, 0, 1, 0, 1, 0, 0, 0, 0]",001010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,"[1, 0, 1, 0, 1, 0, 0, 0, 0]",101010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,"[2, 0, 1, 0, 1, 0, 0, 0, 0]",201010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,"[0, 1, 1, 0, 1, 0, 0, 0, 0]",011010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,"[1, 1, 1, 0, 1, 0, 0, 0, 0]",111010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,"[2, 1, 1, 0, 1, 0, 0, 0, 0]",211010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,"[0, 2, 1, 0, 1, 0, 0, 0, 0]",021010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,"[1, 2, 1, 0, 1, 0, 0, 0, 0]",121010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,"[2, 2, 1, 0, 1, 0, 0, 0, 0]",221010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,"[0, 0, 2, 0, 1, 0, 0, 0, 0]",002010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,"[1, 0, 2, 0, 1, 0, 0, 0, 0]",102010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,"[2, 0, 2, 0, 1, 0, 0, 0, 0]",202010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,"[0, 1, 2, 0, 1, 0, 0, 0, 0]",012010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,"[1, 1, 2, 0, 1, 0, 0, 0, 0]",112010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,"[2, 1, 2, 0, 1, 0, 0, 0, 0]",212010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,"[0, 2, 2, 0, 1, 0, 0, 0, 0]",022010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,"[1, 2, 2, 0, 1, 0, 0, 0, 0]",122010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,"[2, 2, 2, 0, 1, 0, 0, 0, 0]",222010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,"[0, 0, 0, 1, 1, 0, 0, 0, 0]",000110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,"[1, 0, 0, 1, 1, 0, 0, 0, 0]",100110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,"[2, 0, 0, 1, 1, 0, 0, 0, 0]",200110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,"[0, 1, 0, 1, 1, 0, 0, 0, 0]",010110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,"[1, 1, 0, 1, 1, 0, 0, 0, 0]",110110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"[2, 1, 0, 1, 1, 0, 0, 0, 0]",210110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,"[0, 2, 0, 1, 1, 0, 0, 0, 0]",020110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"[1, 2, 0, 1, 1, 0, 0, 0, 0]",120110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,"[2, 2, 0, 1, 1, 0, 0, 0, 0]",220110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,"[0, 0, 1, 1, 1, 0, 0, 0, 0]",001110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,"[1, 0, 1, 1, 1, 0, 0, 0, 0]",101110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,"[2, 0, 1, 1, 1, 0, 0, 0, 0]",201110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,"[0, 1, 1, 1, 1, 0, 0, 0, 0]",011110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,"[1, 1, 1, 1, 1, 0, 0, 0, 0]",111110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,"[2, 1, 1, 1, 1, 0, 0, 0, 0]",211110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,"[0, 2, 1, 1, 1, 0, 0, 0, 0]",021110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,"[1, 2, 1, 1, 1, 0, 0, 0, 0]",121110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,"[2, 2, 1, 1, 1, 0, 0, 0, 0]",221110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,"[0, 0, 2, 1, 1, 0, 0, 0, 0]",002110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,"[1, 0, 2, 1, 1, 0, 0, 0, 0]",102110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,"[2, 0, 2, 1, 1, 0, 0, 0, 0]",202110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,"[0, 1, 2, 1, 1, 0, 0, 0, 0]",012110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,"[1, 1, 2, 1, 1, 0, 0, 0, 0]",112110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,"[2, 1, 2, 1, 1, 0, 0, 0, 0]",212110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,"[0, 2, 2, 1, 1, 0, 0, 0, 0]",022110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,"[1, 2, 2, 1, 1, 0, 0, 0, 0]",122110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,"[2, 2, 2, 1, 1, 0, 0, 0, 0]",222110000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,"[0, 0, 0, 2, 1, 0, 0, 0, 0]",000210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,"[1, 0, 0, 2, 1, 0, 0, 0, 0]",100210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,"[2, 0, 0, 2, 1, 0, 0, 0, 0]",200210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,"[0, 1, 0, 2, 1, 0, 0, 0, 0]",010210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,"[1, 1, 0, 2, 1, 0, 0, 0, 0]",110210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,"[2, 1, 0, 2, 1, 0, 0, 0, 0]",210210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,"[0, 2, 0, 2, 1, 0, 0, 0, 0]",020210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,"[1, 2, 0, 2, 1, 0, 0, 0, 0]",120210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,"[2, 2, 0, 2, 1, 0, 0, 0, 0]",220210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,"[0, 0, 1, 2, 1, 0, 0, 0, 0]",001210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,"[1, 0, 1, 2, 1, 0, 0, 0, 0]",101210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,"[2, 0, 1, 2, 1, 0, 0, 0, 0]",201210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,"[0, 1, 1, 2, 1, 0, 0, 0, 0]",011210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,"[1, 1, 1, 2, 1, 0, 0, 0, 0]",111210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,"[2, 1, 1, 2, 1, 0, 0, 0, 0]",211210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,"[0, 2, 1, 2, 1, 0, 0, 0, 0]",021210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,"[1, 2, 1, 2, 1, 0, 0, 0, 0]",121210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,"[2, 2, 1, 2, 1, 0, 0, 0, 0]",221210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,"[0, 0, 2, 2, 1, 0, 0, 0, 0]",002210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,"[1, 0, 2, 2, 1, 0, 0, 0, 0]",102210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,"[2, 0, 2, 2, 1, 0, 0, 0, 0]",202210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,"[0, 1, 2, 2, 1, 0, 0, 0, 0]",012210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,"[1, 1, 2, 2, 1, 0, 0, 0, 0]",112210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,"[2, 1, 2, 2, 1, 0, 0, 0, 0]",212210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,"[0, 2, 2, 2, 1, 0, 0, 0, 0]",022210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,"[1, 2, 2, 2, 1, 0, 0, 0, 0]",122210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,"[2, 2, 2, 2, 1, 0, 0, 0, 0]",222210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,"[0, 0, 0, 0, 2, 0, 0, 0, 0]",000020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,"[1, 0, 0, 0, 2, 0, 0, 0, 0]",100020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,"[2, 0, 0, 0, 2, 0, 0, 0, 0]",200020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,"[0, 1, 0, 0, 2, 0, 0, 0, 0]",010020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,"[1, 1, 0, 0, 2, 0, 0, 0, 0]",110020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,"[2, 1, 0, 0, 2, 0, 0, 0, 0]",210020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,"[0, 2, 0, 0, 2, 0, 0, 0, 0]",020020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,"[1, 2, 0, 0, 2, 0, 0, 0, 0]",120020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,"[2, 2, 0, 0, 2, 0, 0, 0, 0]",220020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,"[0, 0, 1, 0, 2, 0, 0, 0, 0]",001020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,"[1, 0, 1, 0, 2, 0, 0, 0, 0]",101020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,"[2, 0, 1, 0, 2, 0, 0, 0, 0]",201020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,"[0, 1, 1, 0, 2, 0, 0, 0, 0]",011020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,"[1, 1, 1, 0, 2, 0, 0, 0, 0]",111020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,"[2, 1, 1, 0, 2, 0, 0, 0, 0]",211020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,"[0, 2, 1, 0, 2, 0, 0, 0, 0]",021020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,"[1, 2, 1, 0, 2, 0, 0, 0, 0]",121020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,"[2, 2, 1, 0, 2, 0, 0, 0, 0]",221020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,"[0, 0, 2, 0, 2, 0, 0, 0, 0]",002020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,"[1, 0, 2, 0, 2, 0, 0, 0, 0]",102020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,"[2, 0, 2, 0, 2, 0, 0, 0, 0]",202020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,"[0, 1, 2, 0, 2, 0, 0, 0, 0]",012020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,"[1, 1, 2, 0, 2, 0, 0, 0, 0]",112020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,"[2, 1, 2, 0, 2, 0, 0, 0, 0]",212020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,"[0, 2, 2, 0, 2, 0, 0, 0, 0]",022020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,"[1, 2, 2, 0, 2, 0, 0, 0, 0]",122020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,"[2, 2, 2, 0, 2, 0, 0, 0, 0]",222020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,"[0, 0, 0, 1, 2, 0, 0, 0, 0]",000120000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,"[1, 0, 0, 1, 2, 0, 0, 0, 0]",100120000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,"[2, 0, 0, 1, 2, 0, 0, 0, 0]",200120000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,"[0, 1, 0, 1, 2, 0, 0, 0, 0]",010120000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
